movieId,title,genres,ratings_count,avg_rating
0,Jumanji (1995),Adventure|Children|Fantasy,22243,3.2119768016904193
1,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,8520,3.952230046948357
2,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,44980,3.8980546909737663
3,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,43249,4.053492566302111
4,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,47006,4.334372207803259
5,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,11890,3.412573591253154
6,Rob Roy (1995),Action|Drama|Romance|War,12616,3.539037729866836
7,Clerks (1994),Comedy,23695,3.8695505380882045
8,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,27568,3.4966446604759143
9,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,54502,4.190671901948552
10,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,25804,4.050573554487676
11,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,67310,4.174231169217055
12,"Shawshank Redemption, The (1994)",Crime|Drama,63366,4.446990499637029
13,What's Eating Gilbert Grape (1993),Drama,17881,3.75583021083832
14,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,34384,3.1747178920428105
15,Blade Runner (1982),Action|Sci-Fi|Thriller,30526,4.133705693507174
16,Terminator 2: Judgment Day (1991),Action|Sci-Fi,52244,3.9319539085828037
17,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,63299,4.17705650958151
18,Dragonheart (1996),Action|Adventure|Fantasy,14192,3.216847519729425
19,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical,23445,3.9816805288974195
20,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi,25253,3.9557478319407595
21,Escape to Witch Mountain (1975),Adventure|Children|Fantasy,2604,3.137672811059908
22,Die Hard (1988),Action|Crime|Thriller,30399,3.9338465081088194
23,"Fish Called Wanda, A (1988)",Comedy|Crime,19674,3.849623869065772
24,Monty Python's Life of Brian (1979),Comedy,20557,3.9811256506299557
25,Reservoir Dogs (1992),Crime|Mystery|Thriller,27635,4.089361317170255
26,Platoon (1986),Drama|War,15808,3.919977226720648
27,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi,32685,3.7549181581765336
28,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy,33024,4.174146075581396
29,One Flew Over the Cuckoo's Nest (1975),Drama,29932,4.24807897901911
30,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi,45313,4.188202061218635
31,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure,43295,4.219009123455364
32,Aliens (1986),Action|Adventure|Horror|Sci-Fi,27206,4.005642137763728
33,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action|Adventure|Western,14496,4.123240894039735
34,Apocalypse Now (1979),Action|Drama|War,23090,4.108899956691208
35,Alien (1979),Horror|Sci-Fi,30933,4.041783855429476
36,Army of Darkness (1993),Action|Adventure|Comedy|Fantasy|Horror,12469,3.7253187906006895
37,Ran (1985),Drama|War,4824,4.173611111111111
38,Psycho (1960),Crime|Horror,19649,4.076899587765281
39,Full Metal Jacket (1987),Drama|War,21926,4.033179786554775
40,"Terminator, The (1984)",Action|Sci-Fi|Thriller,33429,3.8963923539441803
41,Rosencrantz and Guildenstern Are Dead (1990),Comedy|Drama,4178,3.9315461943513643
42,Dead Poets Society (1989),Drama,20538,3.8938066023955593
43,"Femme Nikita, La (Nikita) (1990)",Action|Crime|Romance|Thriller,9227,3.8832773382464505
44,"Shining, The (1980)",Horror,23410,4.011533532678342
45,Stand by Me (1986),Adventure|Drama,20804,3.999134781772736
46,Evil Dead II (Dead by Dawn) (1987),Action|Comedy|Fantasy|Horror,7788,3.772085259373395
47,"Great Escape, The (1963)",Action|Adventure|Drama|War,10904,4.137655906089509
48,Unforgiven (1992),Drama|Western,14151,3.9883400466398133
49,Young Frankenstein (1974),Comedy|Fantasy,15087,3.996785311857891
50,Indiana Jones and the Last Crusade (1989),Action|Adventure,31280,4.007592710997442
51,Butch Cassidy and the Sundance Kid (1969),Action|Western,15558,4.0536379997428975
52,"American Werewolf in London, An (1981)",Comedy|Horror|Thriller,7476,3.5597913322632424
53,"Birds, The (1963)",Horror|Thriller,11160,3.7520609318996416
54,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",Horror,3741,3.8980219192729217
55,"Omen, The (1976)",Horror|Mystery|Thriller,5420,3.5562730627306274
56,Sling Blade (1996),Drama,13451,4.015463534309717
57,Die Hard 2 (1990),Action|Adventure|Thriller,15579,3.417934398870274
58,Star Trek II: The Wrath of Khan (1982),Action|Adventure|Sci-Fi|Thriller,15893,3.6956836343044106
59,Jaws (1975),Action|Horror,22168,3.805304944063515
60,Warriors of Virtue (1997),Action|Adventure|Children|Fantasy,335,2.428358208955224
61,Contact (1997),Drama|Sci-Fi,19874,3.6533158901076783
62,Star Kid (1997),Adventure|Children|Fantasy|Sci-Fi,353,2.2195467422096318
63,"Borrowers, The (1997)",Adventure|Children|Comedy|Fantasy,1457,3.029855868222375
64,Small Soldiers (1998),Animation|Children|Fantasy|War,3731,2.8075582953631733
65,Labyrinth (1986),Adventure|Fantasy|Musical,8305,3.6311258278145697
66,Poltergeist (1982),Horror|Thriller,9026,3.5173941945490803
67,"Exorcist, The (1973)",Horror|Mystery,13359,3.7441799535893403
68,Dune (1984),Adventure|Sci-Fi,9039,3.3096028321717004
69,Splash (1984),Comedy|Fantasy|Romance,11777,3.2230619003141716
70,"Dead Zone, The (1983)",Thriller,3388,3.649055489964581
71,Watership Down (1978),Adventure|Animation|Children|Drama|Fantasy,2803,3.7062076346771318
72,"Dark Crystal, The (1982)",Adventure|Fantasy,7980,3.5909774436090225
73,Legend (1985),Adventure|Fantasy|Romance,3100,3.2806451612903227
74,"Navigator: A Mediaeval Odyssey, The (1988)",Adventure|Fantasy|Sci-Fi,786,3.5286259541984735
75,Beetlejuice (1988),Comedy|Fantasy,19988,3.472783670202121
76,Willow (1988),Action|Adventure|Fantasy,9217,3.451611153303678
77,"Untouchables, The (1987)",Action|Crime|Drama,15442,3.884503302681
78,Toys (1992),Comedy|Fantasy,3724,2.693609022556391
79,"Thing, The (1982)",Action|Horror|Sci-Fi|Thriller,8557,3.7969498656071052
80,Edward Scissorhands (1990),Drama|Fantasy|Romance,21394,3.7270963821632233
81,"Lock, Stock & Two Smoking Barrels (1998)",Comedy|Crime|Thriller,15325,3.988678629690049
82,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Sci-Fi,29574,3.0809832961385
83,Dracula (1931),Horror,2074,3.741080038572806
84,Frankenstein (1931),Drama|Horror|Sci-Fi,3361,3.859565605474561
85,Invasion of the Body Snatchers (1956),Horror|Sci-Fi|Thriller,4642,3.7720809995691513
86,Austin Powers: The Spy Who Shagged Me (1999),Action|Adventure|Comedy,24651,3.2111273376333616
87,Run Lola Run (Lola rennt) (1998),Action|Crime,17029,4.025309765693817
88,Ghostbusters (a.k.a. Ghost Busters) (1984),Action|Comedy|Sci-Fi,29381,3.7472686430005786
89,"Iron Giant, The (1999)",Adventure|Animation|Children|Drama|Sci-Fi,8407,3.8480432972522896
90,"Sixth Sense, The (1999)",Drama|Horror|Mystery,39028,4.0549989750948034
91,"Christmas Story, A (1983)",Children|Comedy,12934,4.030887583114272
92,Excalibur (1981),Adventure|Fantasy,6376,3.603513174404015
93,Ferris Bueller's Day Off (1986),Comedy,23317,3.9436677102543207
94,"Dirty Dozen, The (1967)",Action|Drama|War,7140,3.851750700280112
95,Goldfinger (1964),Action|Adventure|Thriller,11240,3.744306049822064
96,Fight Club (1999),Action|Crime|Drama|Thriller,40106,4.227123123722136
97,Time Bandits (1981),Adventure|Comedy|Fantasy|Sci-Fi,8595,3.594822571262362
98,Princess Mononoke (Mononoke-hime) (1997),Action|Adventure|Animation|Drama|Fantasy,9564,4.096298619824341
